channel,total_sessions,high_quality_sessions,high_quality_rate,traffic_share,quality_share,performance_gap
google / organic,112678,22111,0.19623174000248500,0.31288232827681200,0.30424073972150400,-0.0086415885553082200
(direct) / (none),83459,16683,0.19989455900502000,0.23174751269683900,0.22955308492487200,-0.0021944277719671600
<Other> / <Other>,52057,9899,0.19015694335055800,0.14455098034315500,0.13620727612967100,-0.0083437042134833800
<Other> / referral,34672,7055,0.20347831102907200,0.096276611991814000,0.097074687654796600,0.00079807566298258100
shop.googlemerchandisestore.com / referral,28849,6369,0.22077021733855600,0.080107405957309700,0.08763553305080080,0.0075281270934910700
(data deleted) / (data deleted),22233,5527,0.2485944317006250,0.0617362111909899,0.076049865154934200,0.01431365396394430
google / cpc,15617,3016,0.19312287891400400,0.043365016424670000,0.0414992569761682,-0.0018657594485018500
<Other> / organic,10163,1914,0.18833021745547600,0.028220443230064800,0.026336066927183700,-0.0018843763028811200
<Other> / (data deleted),396,100,0.25252525252525300,0.0010996059745257900,0.0013759700588915200,0.00027636408436572300
(data deleted) / referral,3,1,0.33333333333333300,8.33034829186208E-06,1.37597005889152E-05,5.4293522970531E-06
google / <Other>,1,0,0.0,2.77678276395403E-06,0.0,-2.77678276395403E-06
<Other> / cpc,1,1,1.0,2.77678276395403E-06,1.37597005889152E-05,1.09829178249612E-05